Nachrichten,doppelpunkt,5
Nachrichten,fragezeichen,7
Nachrichten,modalverben,14
Nachrichten,kausaladverb,9
Nachrichten,komma,119
Nachrichten,zeitwörter,2
Nachrichten,konjunktive,16
Nachrichten,artikelBest,88
Nachrichten,temporaladverb,20
Nachrichten,artikelUnbest,47
Nachrichten,modalverben,36
Nachrichten,zahl,58
Nachrichten,doppelpunkt,12
Nachrichten,fragezeichen,10
Nachrichten,kausaladverb,24
Nachrichten,komma,185
Nachrichten,zeitwörter,2
Nachrichten,konjunktive,12
Nachrichten,artikelBest,192
Nachrichten,temporaladverb,9
Nachrichten,artikelUnbest,24
Nachrichten,zahl,16
Nachrichten,doppelpunkt,13
Nachrichten,fragezeichen,16
Nachrichten,modalverben,16
Nachrichten,kausaladverb,15
Nachrichten,komma,61
Nachrichten,konjunktive,1
Nachrichten,artikelBest,140
Filme,temporaladverb,7
Filme,artikelUnbest,30
Filme,zahl,29
Filme,doppelpunkt,3
Filme,modalverben,5
Filme,kausaladverb,2
Filme,komma,88
Filme,zeitwörter,1
Filme,konjunktive,3
Filme,artikelBest,135
Filme,temporaladverb,7
Filme,artikelUnbest,56
Filme,zahl,12
Filme,modalverben,8
Filme,kausaladverb,6
Filme,komma,108
Filme,konjunktive,10
Filme,artikelBest,101
Filme,temporaladverb,7
Filme,artikelUnbest,35
Filme,zahl,10
Filme,doppelpunkt,1
Filme,modalverben,8
Filme,kausaladverb,3
Filme,komma,63
Filme,konjunktive,5
Filme,artikelBest,83
Filme,temporaladverb,13
Filme,artikelUnbest,52
Filme,zahl,14
Filme,doppelpunkt,18
Filme,fragezeichen,3
Filme,modalverben,17
Filme,kausaladverb,3
Filme,klammernEckig,6
Filme,komma,114
Filme,zeitwörter,6
Filme,konjunktive,1
Filme,artikelBest,192
Filme,temporaladverb,21
Filme,artikelUnbest,35
Filme,modalverben,19
Filme,zahl,54
Filme,kausaladverb,13
Filme,komma,84
Filme,zeitwörter,1
Filme,konjunktive,1
Filme,artikelBest,193
Filme,temporaladverb,11
Filme,artikelUnbest,28
Filme,zahl,59
Filme,modalverben,8
Filme,kausaladverb,7
Filme,komma,54
Filme,konjunktive,2
Filme,artikelBest,88
Filme,temporaladverb,1
Filme,artikelUnbest,22
Filme,zahl,58
Filme,modalverben,12
Filme,kausaladverb,5
Filme,klammernEckig,2
Filme,komma,75
Filme,zeitwörter,2
Filme,artikelBest,149
Filme,temporaladverb,10
Filme,artikelUnbest,34
Filme,zahl,236
Filme,doppelpunkt,2
Filme,modalverben,5
Filme,kausaladverb,10
Filme,komma,70
Filme,konjunktive,2
Filme,artikelBest,141
Filme,temporaladverb,6
Filme,artikelUnbest,31
Filme,zahl,17
Filme,doppelpunkt,3
Filme,modalverben,15
Filme,kausaladverb,3
Filme,komma,61
Filme,zeitwörter,2
Filme,konjunktive,2
Filme,artikelBest,111
Filme,temporaladverb,20
Filme,artikelUnbest,38
Filme,zahl,6
Filme,modalverben,9
Filme,kausaladverb,5
Filme,komma,84
Filme,konjunktive,3
Filme,artikelBest,97
Filme,temporaladverb,14
Filme,artikelUnbest,34
Filme,modalverben,15
Filme,zahl,90
Filme,doppelpunkt,2
Filme,kausaladverb,6
Filme,zeitwörter,5
Filme,komma,87
Filme,konjunktive,1
Filme,artikelBest,112
Filme,temporaladverb,13
Filme,artikelUnbest,43
Filme,zahl,6
Filme,doppelpunkt,3
Filme,modalverben,5
Filme,kausaladverb,6
Filme,zeitwörter,1
Filme,komma,78
Filme,konjunktive,1
Filme,artikelBest,89
Filme,temporaladverb,7
Filme,artikelUnbest,30
Filme,zahl,19
Filme,doppelpunkt,3
Filme,modalverben,4
Filme,kausaladverb,5
Filme,komma,62
Filme,zeitwörter,1
Filme,konjunktive,5
Filme,artikelBest,91
Filme,temporaladverb,14
Filme,artikelUnbest,46
Filme,zahl,32
Filme,doppelpunkt,3
Filme,modalverben,18
Filme,kausaladverb,8
Filme,komma,90
Filme,zeitwörter,3
Filme,konjunktive,1
Filme,artikelBest,124
Filme,temporaladverb,9
Filme,artikelUnbest,34
Filme,zahl,33
Filme,doppelpunkt,5
Filme,modalverben,13
Filme,kausaladverb,8
Filme,klammernEckig,18
Filme,komma,79
Filme,konjunktive,1
Filme,artikelBest,129
Filme,temporaladverb,3
Filme,artikelUnbest,25
Filme,zahl,2
Filme,doppelpunkt,4
Filme,modalverben,10
Filme,kausaladverb,9
Filme,komma,69
Filme,artikelBest,83
Filme,temporaladverb,6
Filme,artikelUnbest,35
Filme,zahl,18
Filme,doppelpunkt,8
Filme,modalverben,12
